X,Y,Depth,Elevation
475310.1944,4710113.691,29,411.149597
482667.8937,4712734.85,12,395.043884
474787.0776,4707373.478,61,487.464844
479441.5139,4710350.099,112,350.609344
483311.9981,4713214.45,128,356.518707
478894.0849,4713340.586,6,432.589905
468890.9645,4708390.525,56,334.079926
475537.7586,4714502.102,136,538.091553
480991.3238,4715780.522,70,425.409729
478896.1025,4713254.215,9,432.862823
476053.32,4713960.521,10,537.687073
483995.0458,4720732.803,80,487.63382
493188.4732,4715899.735,10,452.861053
489478.6661,4719087.539,26,515.806702
485934.2641,4714578.149,20,490.749817
488536.4391,4720958.229,34,525.071472
493462.1717,4723391.666,18,552.135376
487009.5355,4715482.888,100,497.557159
491920.0558,4720620.337,90,436.846558
483871.9635,4718728.168,4,414.570679
490669.4692,4701689.622,131,335.410217
490444.1934,4703938.453,55,346.424683
498007.4061,4704530.562,22,460.219482
497658.4603,4705418.978,4,501.370087
495941.0694,4703593.802,27,412.5755
491363.0697,4697506.307,19,360.098663
493159.8139,4698300.085,34,385.922821
500274.2194,4700702.553,129,358.99118
494110.8922,4704480.33,34,515.202148
495918.5306,4704090.403,60,412.465393
485054.3114,4692156.324,10,345.384094
483558.0069,4695706.703,56,452.488098
484619.5001,4692003.048,60,327.255951
485114.0141,4702994.715,10,465.165497
483858.6512,4701183.876,39,501.994202
477069.5404,4731705.457,16,423.015839
489128.7946,4696297.269,62,332.155884
482012.9546,4701907.057,20,483.408691
487976.4977,4697344.759,41,348.113007
488324.5402,4700508.745,55,426.658234
488061.0827,4696030.672,460,326.379303
482834.2778,4703459.532,18,512.526917
481805.3053,4695828.252,102,462.847107
508024.7322,4735092.832,20,411.001892
495721.4483,4732415.195,36,541.991211
503205.5353,4732923.562,138,505.845856
498572.2296,4731578.109,50,398.096954
502916.9442,4738016.029,50,463.578278
499541.3138,4738505.873,49,394.656982
506642.7225,4730637.286,145,367.830292
506445.9439,4731932.604,17,451.999115
505378.5921,4733230.282,18,503.96817
508180.6977,4735805.547,20,372.333038
507929.768,4734670.139,28,388.170593
508128.3749,4735854.839,20,382.279877
478027.6129,4714734.372,17,520.007935
479311.2242,4720202.322,52,501.279785
478254.5401,4714412.872,41,507.184906
480454.7121,4718644.417,80,480.414001
478788.9404,4714744.344,64,448.231781
475347.316,4719283.755,60,362.617157
480186.2092,4721143.626,93,428.118683
488141.4793,4740265.012,98,400.952667
485744.1906,4742845.19,15,525.798767
481884.4988,4739174.333,59,444.165924
496025.2313,4746671.905,66,467.383759
501348.5795,4742768.874,80,427.828461
497600.909,4743423.093,196,461.003571
496079.684,4746674.958,40,463.403595
499019.2503,4741158.66,38,395.582886
518356.1393,4733354.368,30,412.892395
519064.7853,4729448.155,20,392.755585
518453.6063,4733459.503,60,391.928772
525467.5835,4733130.161,48,496.820251
524677.0391,4730425.204,60,566.372437
518377.6888,4732089.755,20,384.653046
517206.2596,4708428.643,185,585.330688
506240.4895,4740384.102,156,446.419159
512126.0139,4741999.015,190,457.258453
511375.9809,4745242.734,51,434.199097
515651.9076,4742977.774,23,413.254669
511709.929,4742359.192,92,422.687927
505527.757,4739985.583,140,494.903503
472507.6167,4689387.581,100,519.368958
475947.64,4687882.09,33,322.870026
474901.0286,4686982.043,50,388.116028
469705.5834,4685762.656,57,304.714203
470517.699,4692726.822,35,519.941772
476960.9591,4688480.134,110,315.26355
471622.4274,4685464.705,41,317.220642
478837.8058,4696286.928,43,411.317505
478359.6418,4690946.247,97,322.1651
473119.4545,4686078.763,60,328.445892
472345.9277,4694202.952,98,531.426697
470982.2227,4694464.484,25,551.360901
482274.4982,4745092.677,145,357.163452
511477.2049,4718401.214,9,628.110535
520112.1723,4725148.189,98,588.68927
515814.2936,4724578.743,150,586.4599
511838.5542,4718910.76,4,615.537048
519606.5217,4721266.415,20,591.554077
516417.8957,4723432.708,90,535.269714
517188.9997,4723681.339,2,568.657654
517175.6334,4725399.383,2,599.684998
516912.0021,4722453.022,80,472.701691
523090.0217,4715968.706,90,422.01004
527296.5269,4718392.97,11,490.955444
524943.592,4710028.229,34,473.778381
526369.8386,4720653.426,62,494.463135
520384.9287,4707413.189,40,420.378357
526545.2639,4717063.715,18,659.746582
524048.4161,4711656.762,11,567.25824
524880.9512,4705854.73,16,627.528992
533032.2793,4714701.036,105,642.805115
530970.7088,4711856.877,3,655.453674
526907.3326,4708875.783,3,643.521912
527154.9218,4712655.235,18,540.507507
527511.6779,4708924.412,2,602.053833
526617.8715,4710000.503,21,473.523438
527369.345,4710311.866,48,483.604218
456223.3448,4641843.693,1,507.749786
459508.7564,4641317.919,1,429.063629
439011.4884,4647077.109,1,329.042877
449076.8602,4637448.843,2,529.387329
421413.908,4643918.84,3,551.225769
456269.4923,4631528.606,3,620.058228
456205.3357,4643495.965,4,429.816498
421386.0757,4645523.721,4,590.511963
445960.6095,4635050.171,4,447.236145
440917.68,4632749.596,4,472.959991
432038.5182,4644796.407,4,346.659485
428379.3753,4635857.015,5,436.851624
428194.8601,4640353.75,5,355.021149
441307.2761,4646348.228,5,289.465057
432122.7172,4642069.593,5,513.28717
429623.0895,4637919.932,7,445.218262
436024.4344,4638514.64,7,481.588531
443968.5577,4633557.72,7,472.109528
459508.7564,4641317.919,8,429.063629
459508.7564,4641317.919,8,429.063629
427026.7094,4636518.105,8,496.709778
433315.5913,4633619.441,10,499.083893
455827.9705,4634646.849,10,524.862976
455943.1427,4634615.047,10,522.957642
431693.5216,4631897.067,10,520.226257
439948.1392,4646236.344,10,304.54422
429322.1336,4647198.073,10,465.983337
444953.1502,4638608.752,11,502.020569
457440.3064,4634451.615,12,509.959747
447779.5274,4640653.789,12,406.325348
437873.8818,4645946.617,12,277.551239
445381.7719,4638142.437,12,536.683105
445958.6718,4635013.545,12,443.262054
458779.8057,4638585.185,12,552.771912
432849.1219,4635566.972,12,519.811829
459670.304,4633236.19,14,602.213501
433996.8763,4637529.376,15,536.866699
456438.2031,4637255.653,15,543.135559
445949.7191,4636349.346,15,501.963593
446540.9466,4644457.044,15,293.55719
455708.1655,4637669.864,15,559.403625
459486.2452,4645512.827,16,410.533783
447278.0038,4644482.625,16,283.904938
456152.6412,4642479.233,16,514.731506
455769.9334,4636528.076,17,559.551575
431119.0515,4647334.752,17,477.588593
439441.8,4632004.722,17,429.921295
426508.0723,4635475.224,17,506.139343
447553.5427,4644418.406,17,290.5047
431599.5456,4639401.905,17,514.530884
460273.4348,4635102.548,18,525.699341
432949.6528,4641302.242,18,526.860168
450084.2748,4644209.194,18,279.821686
440681.4392,4645829.336,18,296.574066
434844.5092,4646990.885,18,468.655701
435629.537,4646022.129,19,411.791321
445846.7959,4638527.503,19,508.833984
445616.6966,4634466.531,19,457.685211
437213.7292,4633768.358,20,478.783966
452944.5104,4637904.108,20,436.044556
439138.1291,4640383.829,20,296.851685
429772.8096,4641487.253,20,341.781677
459508.7564,4641317.919,20,429.063629
437181.6241,4632008.727,20,509.515137
431121.7879,4642830.956,20,396.59613
458794.5875,4633395.53,21,605.313232
433597.2604,4649007.815,21,282.593384
457191.7982,4635224.767,22,540.783936
424053.0665,4644343.19,23,491.725372
460548.1287,4633601.007,24,607.470764
438442.2322,4638939.682,24,358.510254
441845.5492,4633825.662,24,472.268799
449396.018,4641259.451,24,398.235931
460519.765,4632676.286,25,609.876465
423926.6331,4641979.35,25,493.302429
424043.9252,4644341.067,25,492.670502
454915.645,4636194.788,26,586.466431
447943.6193,4644261.199,26,307.134857
441419.1462,4645946.462,26,280.387634
437784.1003,4635676.502,28,415.401489
428437.3155,4644004.525,28,415.973633
460145.4317,4632692.802,28,605.935791
460432.4088,4633540.582,28,606.932739
460479.0659,4633571.411,28,605.414307
439286.0686,4646920.413,30,274.349976
441124.1993,4638146.401,30,428.498871
438464.2663,4631691.088,30,467.721252
420773.9703,4644296.831,30,545.655518
438012.9175,4635457.987,30,363.350739
445879.6754,4636195.541,30,499.267059
443773.5944,4638093.89,30,513.627197
429725.3416,4632049.434,30,499.053864
456048.2115,4636711.776,31,537.829102
460195.6146,4632759.14,32,605.170166
442138.3798,4648984.08,34,372.885284
436568.1491,4635943.719,34,482.871185
437167.5093,4632008.852,34,510.042847
420697.1073,4643649.196,35,524.883179
444910.818,4648015.979,35,321.247406
450824.7302,4638010.594,35,483.039337
431226.9397,4632251.319,35,504.537964
436270.0485,4647580.881,36,422.782349
430150.5064,4649446.217,36,459.015961
447252.9162,4644676.012,36,288.995209
456103.7406,4642347.407,36,517.956787
460199.2021,4632955.642,36,611.365173
424052.1545,4644335.427,37,492.711914
444017.4391,4648923.476,38,436.039398
451064.0701,4643253.039,39,367.777954
428997.4597,4635418.887,40,418.849762
440320.573,4634020.365,40,433.865326
445670.6574,4645110.982,40,293.805847
450589.6162,4637364.901,40,492.197174
420751.443,4644358.156,40,549.203064
451209.3324,4640259.693,42,423.255219
437190.5911,4631989.772,42,508.50885
446073.7666,4636731.472,43,496.63739
445787.6884,4645567.553,43,278.104797
439356.8199,4632264.155,43,408.226013
431285.589,4638243.467,45,478.202972
446765.5642,4648323.824,45,471.015717
439878.3826,4633558.845,46,368.734283
446039.7445,4633334.108,46,498.665344
437824.8095,4648291.057,47,266.082642
449150.2085,4643064.394,48,357.417664
424499.7392,4637377.251,48,448.253326
433783.1756,4641757.461,49,445.467987
444644.4188,4633359.241,49,522.88385
442935.6049,4645626.542,50,280.328186
455424.9128,4640263.115,50,460.07547
422348.6091,4636660.853,50,515.604675
433267.6605,4633465.548,50,495.581482
420841.3941,4644172.822,50,540.204041
437789.5614,4633640.059,51,496.10437
440729.593,4646137.616,51,283.72879
438922.8518,4639459.631,51,313.454712
431847.6258,4634466.107,52,488.052002
450572.0619,4641405.515,55,356.629303
444665.3715,4634026.389,56,448.470184
446283.1774,4634681.322,57,466.301453
446949.3379,4637421.075,57,467.560608
430149.8502,4649379.599,59,451.165497
432590.6756,4647166.277,60,326.772949
432756.9646,4647750.988,60,293.820312
429752.4054,4639421.013,60,370.721588
429784.8501,4640438.922,60,380.601807
430382.9969,4637995.739,60,367.640289
432977.8426,4634516.457,60,540.310181
428793.8091,4633477.744,60,460.79248
445819.5961,4637460.673,61,505.903625
435305.6433,4644581.574,62,417.139435
444044.8505,4637351.153,62,471.820038
438891.0183,4646461.887,62,267.114227
457257.5355,4634700.307,63,499.733307
434958.8325,4646897.674,65,471.140228
445475.7169,4634483.153,68,462.682983
457141.985,4634669.913,68,505.067169
444531.1787,4634702.517,69,431.156067
450816.2161,4640139.154,69,412.909271
450024.4145,4648656.542,69,293.121887
432169.049,4646399.679,70,301.530823
428301.4318,4644093.617,70,412.809692
455132.288,4634096.04,70,578.372864
441544.9306,4647333.384,70,332.700714
435054.6306,4642238.74,70,405.170135
435715.8665,4644114.821,70,358.271118
428168.6055,4646451.243,71,530.65625
432911.9553,4642228.659,71,487.921539
429668.9196,4640960.842,73,334.108612
437958.5587,4647764.676,78,270.028015
427133.8303,4647204.656,79,419.969696
448427.4407,4644226.58,80,329.810699
438510.202,4631721.782,80,461.565704
430968.226,4648354.456,80,349.340271
421021.9776,4643862.112,80,540.381958
436574.5667,4644847.726,80,311.10733
424095.3138,4636178.981,80,517.537354
454628.3008,4645387.869,81,310.103241
433782.0251,4634231.347,81,524.653076
439198.7823,4639426.178,82,306.71991
438467.4185,4648068.931,83,277.072601
457013.8018,4636397.215,85,554.295837
436575.1121,4644908.791,86,308.303223
437577.1749,4646226.814,86,274.869995
451810.8548,4637233.284,86,477.970093
437865.0073,4635532.559,87,384.20694
425384.6034,4642785.604,88,416.114532
422005.2956,4636911.117,88,529.810059
424004.4076,4644908.915,90,487.626404
445052.5063,4636541.639,90,480.468292
438082.9258,4646160.204,90,272.620544
441439.7325,4639389.615,91,480.994751
454160.5566,4641352.606,95,451.79306
444656.0577,4633361.371,96,523.453857
451163.7371,4640383.253,98,417.339539
449370.6237,4644096.548,100,278.77298
420729.2752,4644451.68,100,551.874878
420756.2612,4644790.061,102,553.476318
450733.2854,4638103.383,103,481.056061
439511.4848,4647021.753,104,289.395081
445930.3007,4633790.173,105,441.306183
423961.0754,4644964.9,106,486.760834
453229.4871,4640743.549,108,370.487762
451756.9978,4649332.962,108,346.867889
429095.5075,4645496.97,110,444.469299
445838.3907,4633820.85,110,439.389313
438134.6324,4641532.833,110,405.413422
445300.6877,4634064.788,110,446.310699
436027.4757,4642909.469,113,348.821228
420924.468,4643369.054,115,526.410095
450572.2257,4644766.503,116,277.69397
448197.2194,4647436.049,117,408.151123
445515.7324,4633854.398,120,441.201447
445329.8061,4633640.417,120,461.75705
435396.7855,4644395.311,121,392.421509
428816.1326,4633385.359,122,462.360321
450037.7829,4636406.099,122,514.054688
431478.2717,4634469.649,122,464.431854
429699.3188,4641519.07,125,350.048309
438556.0211,4643754.358,125,314.468506
438836.8865,4640169.892,127,318.841614
447697.6288,4645975.161,130,431.546906
433287.9144,4640497.365,140,488.323364
449389.9267,4643664.488,141,310.771393
444566.7255,4649252.271,142,385.769531
451870.8305,4649507.623,146,339.93808
445699.7696,4633821.904,150,449.71701
428821.9757,4633970.473,150,449.365173
424571.4155,4644132.24,150,476.782135
445999.9396,4634325.936,152,448.2341
450338.5095,4637644.23,153,487.133301
425552.4603,4638304.456,158,466.245697
446260.6418,4634774.76,160,460.888885
454903.3933,4641592.128,160,442.459137
421650.2274,4642343.864,160,509.959259
423196.7553,4640507.01,160,432.63736
432313.3358,4644670.529,167,363.907867
445951.6055,4634300.764,168,446.441284
426007.7679,4638287.494,170,426.989166
429265.3662,4643744.172,170,387.82489
433986.2402,4648256.889,173,363.347137
436598.5261,4647530.192,178,371.339661
450844.7613,4637547.449,180,506.744812
445983.324,4634652.499,182,437.890808
428294.6455,4644406.82,189,438.45752
431153.7868,4646131.852,190,376.765808
431570.9997,4639280.037,192,506.425873
431442.9475,4648355.405,196,356.845551
430832.9455,4646289.316,200,398.746765
424250.2902,4644258.913,200,493.285431
440582.8595,4634017.063,202,451.101349
423937.7608,4645187.234,205,506.632935
428103.8289,4644390.982,208,434.848816
445081.0266,4634320.744,209,430.770508
444125.3311,4635870.435,214,479.170959
421691.7962,4644009.047,225,532.855225
423982.1874,4645001.318,230,491.626892
431848.21,4634527.172,236,486.794312
445340.0754,4634546.371,237,461.894928
443268.3311,4635383.107,260,433.754822
421306.8747,4642563.08,277,526.6698
432158.5242,4635384.751,278,504.669861
455969.8497,4638932.89,288,506.543488
